Z (m),H (m),T (K),P (mb),P/P0,rho (kg/m^3),rho/rho0
57516,57000,253.850,0.30627,0.00030226,0.00042031,0.00034311
58534,58000,251.050,0.26750,0.00026401,0.00037121,0.00030303
59553,59000,248.250,0.23329,0.00023024,0.00032738,0.00026725
60572,60000,245.450,0.20314,0.00020048,0.00028832,0.00023536
61591,61000,242.650,0.17660,0.00017429,0.00025355,0.00020698
62611,62000,239.850,0.15328,0.00015128,0.00022264,0.00018175
63631,63000,237.050,0.13282,0.00013108,0.00019520,0.00015935
64651,64000,234.250,0.11489,0.00011339,0.00017087,0.00013949
65672,65000,231.450,0.099220,0.000097922,0.00014934,0.00012191
66692,66000,228.650,0.085527,0.000084408,0.00013031,0.00010637
67714,67000,225.850,0.073589,0.000072627,0.00011351,0.000092661
68735,68000,223.050,0.063199,0.000062372,0.000098707,0.000080577
69757,69000,220.250,0.054171,0.000053463,0.000085683,0.000069945
70779,70000,217.450,0.046342,0.000045736,0.000074243,0.000060606
71802,71000,214.650,0.039564,0.000039046,0.000064211,0.000052417
72825,72000,211.850,0.033717,0.000033276,0.000055437,0.000045091
73848,73000,210.650,0.028691,0.000028316,0.000047449,0.000038734
74872,74000,208.650,0.024377,0.000024058,0.000040701,0.000033225
75896,75000,206.650,0.020679,0.000020408,0.000034861,0.000028458
76920,76000,204.650,0.017514,0.000017284,0.000029813,0.000024337
77944,77000,202.650,0.014809,0.000014615,0.000025458,0.000020782
78969,78000,200.650,0.012501,0.000012337,0.000021705,0.000017718
79994,79000,198.650,0.010535,0.000010397,0.000018475,0.000015082
81020,80000,196.650,0.0088627,0.0000087468,0.000015701,0.000012817
82046,81000,194.650,0.0074427,0.0000073454,0.000013320,0.000010874
83072,82000,192.650,0.0062390,0.0000061574,0.000011282,0.0000092098
84098,83000,190.650,0.0052203,0.0000051520,0.0000095390,0.0000077869
85125,84000,188.650,0.0043598,0.0000043027,0.0000080510,0.0000065722
85638,84500,187.650,0.0039814,0.0000039293,0.0000073914,0.0000060338
