M,p/p*,T/T*,rho/rho*,p0/p0*,T0/T0*
7.00,0.03448,0.05826,0.5918,75.410,0.5244
7.10,0.03353,0.05668,0.5916,80.260,0.5234
7.20,0.03262,0.05516,0.5914,85.360,0.5225
7.30,0.03174,0.05370,0.5912,90.720,0.5217
7.40,0.03090,0.05229,0.5909,96.360,0.5208
7.50,0.03009,0.05094,0.5907,102.30,0.5200
7.60,0.02932,0.04964,0.5905,108.50,0.5193
7.70,0.02857,0.04839,0.5904,115.00,0.5185
7.80,0.02785,0.04719,0.5902,121.90,0.5178
7.90,0.02716,0.04603,0.5900,129.10,0.5171
8.00,0.02649,0.04491,0.5898,136.60,0.5165
9.00,0.02098,0.03565,0.5885,233.90,0.5110
10.00,0.01702,0.02897,0.5875,381.60,0.5070
11.00,0.01408,0.02400,0.5868,597.70,0.5041
12.00,0.01185,0.02021,0.5862,904.10,0.5018
13.00,0.01010,0.01724,0.5858,1327.0,0.5001
14.00,0.008715,0.01489,0.5855,1896.0,0.4986
15.00,0.007595,0.01298,0.5852,2649.0,0.4975
16.00,0.006678,0.01142,0.5850,3625.0,0.4966
17.00,0.005917,0.01012,0.5848,4873.0,0.4958
18.00,0.005279,0.009030,0.5846,6445.0,0.4952
19.00,4.739E-03,8.109E-03,0.5845,8.402E+03,0.4946
20.00,4.278E-03,7.321E-03,0.5844,1.081E+05,0.4942
22.00,3.537E-03,6.054E-03,0.5842,1.728E+05,0.4934
24.00,2.973E-03,5.089E-03,0.5841,2.656E+05,0.4928
26.00,2.533E-03,4.338E-03,0.5839,3.946E+05,0.4924
28.00,2.185E-03,3.742E-03,0.5839,5.697E+05,0.4920
30.00,1.903E-03,3.260E-03,0.5838,8.021E+05,0.4917
32.00,1.673E-03,2.866E-03,0.5837,1.105E+06,0.4915
34.00,1.482E-03,2.539E-03,0.5837,1.494E+06,0.4913
36.00,1.322E-03,2.265E-03,0.5837,1.985E+06,0.4911
38.00,1.187E-03,2.033E-03,0.5836,2.597E+06,0.4910
40.00,1.071E-03,1.835E-03,0.5836,3.353E+06,0.4909
42.00,9.714E-04,1.665E-03,0.5836,4.275E+06,0.4908
44.00,8.852E-04,1.517E-03,0.5835,5.390E+06,0.4907
46.00,8.099E-04,1.388E-03,0.5835,6.726E+06,0.4906
48.00,7.438E-04,1.275E-03,0.5835,8.316E+06,0.4906
50.00,6.855E-04,1.175E-03,0.5835,1.019E+07,0.4905
